Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Parallel Carbon,https://www.crunchbase.com/organization/para-el-carbon,Growing,,"Parallel Carbon is creating the hardware platform required for a post-fossil-fuel society. To eliminate emissions, they are developing technology that removes carbon dioxide from the atmosphere while producing hydrogen. Their mission is to provide the most scalable solution to climate change.",,"Renewable Energy, Semiconductor","London, England, United Kingdom",Parallel Carbon is creating the hardware platform required for a post-fossil-fuel society.,"34,705",2021-01-01,year,,,Private,"35,571",,2024-01-08,3,Seed,3600000,USD,3600000,Seed,3720369,USD,3720369,3600000,USD,3600000,Seed,3600000,USD,3600000,"DNX Ventures, Aramco Ventures, Axon Partners Group, Counteract, Voyagers",7,"Energy, Hardware, Science and Engineering, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://www.parallelcarbon.com,https://www.linkedin.com/company/parallel-carbon,info@parallelcarbon.com,1-10
Embankment Group,https://www.crunchbase.com/organization/embankment-group,,,Embankment Group is a recruitment firm specializing in the environmental industry.,,"Recruiting, Staffing Agency","Wilmslow, Cheshire, United Kingdom",Embankment Group is a recruitment firm specializing in the environmental industry.,"34,744",2021-01-01,year,,,Private,"35,602",,2024-11-07,1,Seed,30000000,DKK,4341933,Seed,30000000,DKK,4341933,30000000,DKK,4341933,Seed,30000000,DKK,4341933,"Export and Investment Fund, Seed Capital",2,"Administrative Services, Professional Services",,"Europe, Middle East, and Africa (EMEA)",https://embankmentgroup.co.uk,https://www.linkedin.com/company/embankment-group,,1-10
Heat Geek,https://www.crunchbase.com/organization/heat-geek,Growing,SE1 7PB,Heat Geek is a designer and installer of energy systems.,,"CleanTech, Energy Management, GreenTech","London, England, United Kingdom",Heat Geek is a designer and installer of energy systems.,"34,745",2016-01-01,year,,,Private,"35,603",,2024-02-29,1,Seed,3700000,GBP,4671894,Seed,3700000,GBP,4671894,3700000,GBP,4671894,Seed,3700000,GBP,4671894,"Triple Point Ventures, Transition, Ed Broussard, Akta Raja, Rob Harris",7,"Energy, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://heatgeek.com,https://www.linkedin.com/company/heat-geek,,11-50
Churned,https://www.crunchbase.com/organization/churned,,1097 DN,"Most Customer Success and Retention management tools promise data-driven solutions. But in reality there exist a few dominant limitations. In most cases, ""data-driven"" actually means ""rule-based"" solutions built by ""gut feelings"". Churned gives you the opposite: A fully data-driven solution without limitations. The Churned AI Engine transforms your data into actionable retention strategies, CLV drivers, and upsell machines.",,"E-Commerce, Information Technology, Internet, Machine Learning, Marketing, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands","Churned is a Data-driven customer success for SaaS, B2C & E-commerce.","34,746",2019-12-19,day,,"Francisco Blasques, Maarten Doornenbal, Michiel Doornenbal",Private,"35,604",,2024-09-10,2,Seed,2500000,EUR,2760168,Seed,2500000,EUR,2760168,2500000,EUR,2760168,Seed,2500000,EUR,2760168,"Newion, Volta Ventures, Goldfish Global",3,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.churned.io/,https://www.linkedin.com/company/churned/,info@churned.nl,11-50
HealthSage AI,https://www.crunchbase.com/organization/healthsage-ai,Growing,,HealthSage AI is an open platform for generative AI in healthcare. It aims to provide the healthcare and open-source community with a trusted and transparent foundation for numerous AI applications.,,"Artificial Intelligence (AI), Software, Web Development","Amsterdam, Noord-Holland, The Netherlands",HealthSage AI is an open platform for generative AI in healthcare.,"34,758",2023-01-01,year,,"Harm-Jan Wessels, Marcel Alberti",Private,"35,616",,2024-04-16,1,Seed,3000000,EUR,3186327,Seed,3000000,EUR,3186327,3000000,EUR,3186327,Seed,3000000,EUR,3186327,"Peak, Rubio Impact Ventures, Healthy.Capital, Jeroen Tas, Jaap Maljers",5,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://healthsage.ai,https://www.linkedin.com/company/healthsage-ai,hello@healthsage.ai,1-10
BOX ID Systems,https://www.crunchbase.com/organization/box-id-systems,Growing,85748,"BOX ID Systems develops and offers an end-to-end location & process mining solution to cost effectively track millions of logistics assets digitally throughout the industrial supply chain across Europe and the World - including site-to-site, on-premises and indoor buildings digital twin of supply chain processes. The system is built on a specialized analytics software platform, sensorik tracking devices and efficient data-, device- and user-management tools, including functions to support process automation and optimization. Industrial and automotive production customers benefit from making their logistics processes more efficient and cost optimized, with 100% transparency within their critical processes throughout the entire supply chain.",,"Automotive, Enterprise Software, Industrial, Information Technology, Internet of Things, Manufacturing, SaaS, Software, Supply Chain Management","Munich, Bayern, Germany",Supply Chain Visibility SaaS Platform specialized in Process Monitoring & Conformity Analytics,"34,809",2018-01-09,day,,"Dominik Buchinger, Shawn Silberhorn, Wolfgang Vogl",Private,"35,670",,2024-02-01,2,Seed,3500000,EUR,3806032,Seed,3500000,EUR,3806032,3500000,EUR,3806032,Seed,3500000,EUR,3806032,"HTGF | High-Tech Gruenderfonds, Bayern Kapital, Wille Finance, KPN Ventures, BayStartUP",8,"Information Technology, Internet Services, Manufacturing, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.box-id.com/,https://www.linkedin.com/company/box-id/,info@box-id.com,11-50
Bib Batteries,https://www.crunchbase.com/organization/bib-batteries,,,BiB Batteries is a developer of battery monitoring software designed to optimize batteries' performances.,,"B2B, Information Services, Software","Paris, Ile-de-France, France",BiB Batteries is a developer of battery monitoring software designed to optimize batteries' performances.,"34,916",2021-01-01,year,,,Private,"35,783",,2024-09-10,3,Seed,2200000,EUR,2424472,Seed,2544472,USD,2544472,2200000,EUR,2424472,Seed,2544472,USD,2544472,"Wendel Family Office, Family Ventures, Techstars, Next Gear Ventures, Super Capital",6,"Information Technology, Other, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://bib-batteries.fr/,https://www.linkedin.com/company/bib-batteries,,1-10
Heatio,https://www.crunchbase.com/organization/heatio,Growing,L3 4AF,Heatio provides affordable renewable energy to homeowners.,,"Energy Efficiency, Renewable Energy, Solar","Liverpool, Liverpool, United Kingdom",Heatio provides affordable renewable energy to homeowners.,"34,961",2022-01-01,year,,"Simon Roberts, Thomas Farquhar",Private,"35,828",,2024-06-27,4,Seed,2000000,GBP,2529779,Seed,3810000,GBP,4819346,2000000,GBP,2529779,Seed,2610000,GBP,3296376,"Ascension, SyndicateRoom, NorthInvest, Baltic Ventures, The Conduit Connect",9,"Energy, Natural Resources, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://www.heatio.co.uk,https://www.linkedin.com/company/heatiouk,hello@heatio.co.uk,1-10
Agio Ratings,https://www.crunchbase.com/organization/agio-ratings,,WC2H 0HF,"Agio Ratings Ltd specializes in providing services that enable firms involved in trading and investing in digital assets to safeguard their capital, underwrite credit, and ensure long-term success. The company focuses on the financial services sector, catering to the needs of businesses navigating the complexities of digital asset management. With a team of experts, Agio Ratings Ltd offers insights and solutions designed to enhance the security and profitability of digital asset investments. The company operates with a commitment to delivering valuable services to its clients, leveraging technology and industry knowledge to address the unique challenges of the digital asset market.",,"Asset Management, Risk Management, Software","London, England, United Kingdom",Agio Ratings Ltd aids in protecting capital and underwriting credit for digital asset trading and investment firms.,"34,976",2022-01-01,year,,"Ben M., Henry Stott",Private,"35,848",,2024-03-05,1,Seed,4600000,USD,4600000,Seed,4600000,USD,4600000,4600000,USD,4600000,Seed,4600000,USD,4600000,"Portage Ventures, MS&AD Ventures, Superscrypt",3,"Financial Services, Professional Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.agioratings.io,https://www.linkedin.com/company/agio-ratings/,contact@agioratings.io,1-10
Social First,https://www.crunchbase.com/organization/social-first,,,"Social First is a fresh studio, highly experienced in cross-platform social sandbox MMO's. With proven product/audience fit and exceptional results in early market testing, our current title is based years of learnings and data, providing significant evolution in UGC, digital asset trading and social gameplay. Combined with a validated growth playbook with IDFA-independent UA across platforms for scaling, we are on a clear path to a $1B+ company. We are a veteran, full stack team with years of experience and numerous titles across the industry under our belts, backed by Play Ventures. As the latest milestone, our pre-alpha testing in June 2023 proved exceptionally strong engagement and retention!",,"Console Games, Gaming, MMO Games, Online Games, PC Games","Helsinki, Southern Finland, Finland",Social First is a veteran game studio that creates Social Sandbox MMO's across platforms.,"35,001",2021-01-01,year,,Kim Soares,Private,"35,870",,2024-08-06,2,Seed,4200000,USD,4200000,Seed,6700000,USD,6700000,4200000,USD,4200000,Seed,6700000,USD,6700000,"Business Finland, Crowberry Capital, Play Ventures, Joakim Achren",4,Gaming,,"European Union (EU), Nordic Countries, Scandinavia",https://www.socialfirstgames.com,https://www.linkedin.com/company/social-first-games,info@socialfirstgames.com,11-50
Lemmo,https://www.crunchbase.com/organization/lemo-ee17,,,"LEMO is a manufacturer and supplier of e-bikes. They are available for purchase as an e-bike or as a traditional bicycle. Their singular design is made possible by employing two separate aspects of production. It provides integrated e-parts for bikes, including the battery, motor controller, IoT device, and USB-A and USB-C charging ports.",,"Autonomous Vehicles, Electric Vehicle, Transportation","Berlin, Berlin, Germany",lemmo is a smart electric light transportation service provider.,"35,096",2021-10-01,month,,,Private,"35,970",,2024-06-04,2,Seed,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,Seed,10000000,USD,10000000,"Joy Capital, Cyanhill Capital",2,Transportation,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.lemmofuture.com,,contact@lemofuture.com,11-50
Gaya,https://www.crunchbase.com/organization/gaya-4819,,,GAYA makes new mobility accessible with a reasoned approach.,,Electric Vehicle,"Paris, Ile-de-France, France","GAYA, the electric bike for solo, duo or family riding.","35,172",2021-01-01,year,,,Private,"36,044",,2024-07-08,2,Seed,5000000,USD,5000000,Seed,7153896,USD,7153896,5000000,USD,5000000,Seed,7153896,USD,7153896,"Karmen, Lita.co, Via ID, Mobivia Groupe",4,Transportation,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://gaya.bike/,https://www.linkedin.com/company/gaya-bike,hello@gaya.bike,11-50
BiocSol,https://www.crunchbase.com/organization/biocsol,,1348,BiocSol focus on sustainable microbial-based crop protection.,,"Agriculture, Biotechnology, Farming","Louvain-la-neuve, Vlaams-Brabant, Belgium",BiocSol focus on sustainable microbial-based crop protection.,"35,186",2023-01-01,year,,Simon Caulier,Private,"36,064",,2024-11-20,1,Seed,5200000,EUR,5497520,Seed,5200000,EUR,5497520,5200000,EUR,5497520,Seed,5200000,EUR,5497520,"VIVES Funds, Agri Investment Fund, invest.bw, Sopartec, Invest Mons Borinage Centre",5,"Agriculture and Farming, Biotechnology, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,https://www.linkedin.com/company/biocsol/about/,,1-10
Quan,https://www.crunchbase.com/organization/quan,,2595 AN,Quan worked diligently with psychologists and therapists to develop a well-being assessment focused on improving “self-awareness” and helping individuals identify the areas which need attention across their personal and work lives.,,"Employee Benefits, Health Care, Human Resources, Information Technology, SaaS, Software","The Hague, Zuid-Holland, The Netherlands",Quan is a healthtech company that offers an end-to-end self assesment platform for improving employee wellbeing and team performance.,"35,206",2020-01-01,year,,"Arosha Brouwer, Lucy Howie",Private,"36,079",,2024-01-03,2,Seed,2821702,USD,2821702,Seed,3971702,USD,3971702,2821702,USD,2821702,Seed,3971702,USD,3971702,"Y Combinator, HearstLab, Golden Egg Check Capital, Operator Exchange",4,"Administrative Services, Health Care, Information Technology, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.quanwellbeing.com,https://www.linkedin.com/company/quan-wellbeing,hello@quanwellbeing.com,11-50
Mobai,https://www.crunchbase.com/organization/mobai,,,"Mobai is a leading biometric company and owner of a SaaS based biometric technology platform. Mobai technology for liveness detection, deep fake detection and morphing is critical for companies in regulated environments such as financial services where the need for frictionless, user friendly and secure identity verification and authentication is crucial. Mobai is actively engaged in R&D, and participates in several international projects including the eu-Lisa project with focus on the next generation of border controls in Schengen. Mobai’s solutions are tested at recognized institutions like the National Institute of Standards and Technology (US Dept of Commerce),  the Face Recognition Vendor Test and Swiss Center for Biometrics.",,"Biometrics, Information Services, Information Technology, SaaS","Gjøvik, Oppland, Norway",Mobai is a leading biometric company and owner of a SaaS based biometric technology platform.,"35,212",2019-01-01,year,,Brage Strand,Private,"36,086",,2024-02-28,1,Seed,30000000,NOK,2831250,Seed,30000000,NOK,2831250,30000000,NOK,2831250,Seed,30000000,NOK,2831250,"TD Veen, Patrick Pichette, Protonic Partners",3,"Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.mobai.bio/,https://www.linkedin.com/company/mobaibio,info@mobai.bio,1-10
Output Sports,https://www.crunchbase.com/organization/output-sports,Growing,,Output Sports operates as a sports tech start-up. We are revolutionizing the way athletic staff optimize sports performance. Using advanced signal processing and machine learning techniques we have developed an end-to-end solution that can test multiple components of athletic performance and track training programmes with a single wearable sensor.,,"Sports, Test and Measurement","Dublin, Dublin, Ireland",Output Sports operates as a sports tech start-up.,"35,326",2017-01-01,year,,"Darragh Whelan, Julian Eberle, Martin O'Reilly",Private,"36,203",,2023-12-01,2,Seed,2369500,EUR,2580997,Seed,3669500,EUR,4029696,2369500,EUR,2580997,Seed,3669500,EUR,4029696,"Enterprise Ireland, Elkstone Capital Partners, Atlantic Bridge University Fund, John Hearne, Dan Leavy",6,"Data and Analytics, Sports",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.outputsports.com/,https://www.linkedin.com/company/output-sports/about/,,11-50
Firecell,https://www.crunchbase.com/organization/firecell,Growing,,,,Telecommunications,"Nice, Provence-Alpes-Cote d'Azur, France",Firecell is a Telecommunications Industry.,"35,379",2021-01-01,year,,Olivier Dhotel,Private,"36,256",,2024-03-24,1,Seed,6600000,EUR,7132806,Seed,6600000,EUR,7132806,6600000,EUR,7132806,Seed,6600000,EUR,7132806,"Ventech, Matterwave Ventures, Bpifrance Digital Venture, Bouygues Telecom Initiatives",4,Hardware,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://firecell.io/,https://www.linkedin.com/company/firecell/,,11-50
Carol,https://www.crunchbase.com/organization/carol-3cce,,,"Carol is a tech-enabled healthcare provider delivering membership-based primary care services, on a mission to make high-quality healthcare accessible and affordable for everyone. To achieve this goal, Carol leverages a highly scalable technology, combined with high quality clinical operations and a salaried provider model.",,"Employee Benefits, Health Care, Medical, Wellness","Milan, Lombardia, Italy",Carol is a tech-enabled healthcare provider delivering membership-based primary care services,"35,393",2022-01-01,year,,Lorenzo Granato,Private,"36,275",,2024-05-30,1,Seed,4900000,EUR,5307390,Seed,4900000,EUR,5307390,4900000,EUR,5307390,Seed,4900000,EUR,5307390,"P101, Exceptional Ventures, Alecla7, Lumen Ventures, CRB Inverbío",5,"Administrative Services, Health Care",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.carol.health,https://www.linkedin.com/company/carol.health,info@carol.health,11-50
encentive,https://www.crunchbase.com/organization/encentive,,24537,"We provide an energy demand management platform that connects energy providers with energy demanding appliances. We solve the problem of wasting valuable renewable energy by rewarding appliance owners for shifting their electricity demand to times when renewable energy is abundant. We put renewable energy to work. Efficient, scalable and fully automated!",,"Clean Energy, Energy, Energy Efficiency, Renewable Energy, Software","Neumünster, Schleswig-Holstein, Germany",Flexibility-as-a-Service for Utilities and Grid Operators,"35,412",2020-01-01,year,,,Private,"36,289",,2024-01-22,2,Seed,2700000,EUR,2937177,Seed,2700000,EUR,2937177,2700000,EUR,2937177,Seed,2700000,EUR,2937177,"Vireo Ventures, Interface Capital, Mario Götze, Smart Infrastructure Ventures ('SIVentures'), Summiteer",7,"Energy, Software, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://encentive.de/,https://www.linkedin.com/company/28424146,,11-50
EnliteAI,https://www.crunchbase.com/organization/enliteai,,1010,"We are specialized on applying Reinforcement Learning to hard decision problems such as logistics, manufacturing and powergrids. We're the makers of MazeRL, one of the first open-source frameworks for applied Reinforcement Learning and Detekt, a modern geospatial data platform supporting the entire mobile mapping and asset management life cycle.",,"Artificial Intelligence (AI), Information Technology, Logistics, Machine Learning, Power Grid, Software","Vienna, Wien, Austria","Reinforcement Learning, Open Source, geoAI","35,418",2017-11-01,month,,Clemens Wasner,Private,"36,296",,2023-12-14,1,Seed,2000000,EUR,2198670,Seed,2000000,EUR,2198670,2000000,EUR,2198670,Seed,2000000,EUR,2198670,"Speedinvest, Breeze Invest, floud ventures",3,"Artificial Intelligence (AI), Data and Analytics, Energy, Information Technology, Science and Engineering, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.enlite.ai,https://www.linkedin.com/company/enliteai/,office@enlite.ai,11-50
HomeCooks,https://www.crunchbase.com/organization/homecooks,Growing,,HomeCooks is a mobile app that connects people to local chefs that make authentic food. HomeCooks was founded in 2020 and was headquartered in London.,,"Food and Beverage, Mobile","London, England, United Kingdom",HomeCooks is a mobile app that connects people to local chefs that make authentic food.,"35,968",2020-08-14,day,,"George Streatfield, Joshua Magidson",Private,"36,870",,2023-12-05,2,Seed,2450000,GBP,3085635,Seed,2450000,GBP,3085635,2450000,GBP,3085635,Seed,2450000,GBP,3085635,"Speedinvest, 7percent Ventures, Love Ventures, DFF Ventures, Rianta Capital",7,"Food and Beverage, Mobile",,"Europe, Middle East, and Africa (EMEA)",https://home-cooks.co.uk/,https://www.linkedin.com/company/homecooksuk,support@homecooks.app,1-10
PuriFire Energy,https://www.crunchbase.com/organization/purifire-labs,,,Transforming Waste Water and wet feedstocks into Green Methanol and other sustainable fuels,,"Chemical, Environmental Engineering, Sustainability","Cambridge, Cambridgeshire, United Kingdom",Pioneering Green Hydrogen and Bio-methanol Production,"36,001",2019-11-01,month,,,Private,"36,895",,2024-08-28,5,Seed,2700000,GBP,3578970,Seed,3325000,GBP,4395250,2700000,GBP,3578970,Seed,2800000,GBP,3699339,"Startupbootcamp Australia, Innovate UK, Carbon13, Net Zero Technology Centre, Desai Ventures",9,"Science and Engineering, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://www.purifirelabs.com/,https://www.linkedin.com/company/purifirelabs,neel@purifirelabs.com,1-10
Terra Labs,https://www.crunchbase.com/organization/terra-labs-84cd,,,Terra Labs develops software using satellite data and AI for monitoring and analyzing land and related activities from a spatial viewpoint.,,"Artificial Intelligence (AI), Geospatial, Information Technology, Real Time, Software","Stockholm, Stockholms Lan, Sweden",Terra Labs develops software using satellite data and AI for monitoring and analyzing land and related activities from a spatial viewpoint.,"36,012",2023-01-01,year,,"Adam von Corswant, Peder Stahle",Private,"36,916",,2024-03-28,1,Seed,4000000,EUR,4316419,Seed,4000000,EUR,4316419,4000000,EUR,4316419,Seed,4000000,EUR,4316419,Norrsken VC,1,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Navigation and Mapping, Other, Science and Engineering, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://terralabs.com/,https://www.linkedin.com/company/terralabsai,,1-10
Tibo energy,https://www.crunchbase.com/organization/tibo-energy,Growing,,"Tibo Energy aims to revolutionize energy consumption, generation, and distribution.",,"Energy, Sustainability","Eindhoven, Noord-Brabant, The Netherlands","Tibo Energy aims to revolutionize energy consumption, generation, and distribution.","36,086",2022-01-01,year,,,Private,"36,982",,2024-01-10,1,Seed,3000000,EUR,3292235,Seed,3000000,EUR,3292235,3000000,EUR,3292235,Seed,3000000,EUR,3292235,"Speedinvest, SET Ventures",2,"Energy, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://tibo.energy,https://www.linkedin.com/company/tibo-energy,info@tibo.energy,11-50
Recurse ML,https://www.crunchbase.com/organization/recurse-ml,,N1 7SR,"Recurse ML is built for enterprise environments, it integrates smoothly with your existing systems.",,"Machine Learning, Software","London, England, United Kingdom","Recurse ML is built for enterprise environments, it integrates smoothly with your existing systems.","36,275",2023-01-01,year,,"Armins Stepanjans, Jack Jackson",Private,"37,174",,2024-07-10,1,Seed,2500000,GBP,3202402,Seed,2500000,GBP,3202402,2500000,GBP,3202402,Seed,2500000,GBP,3202402,"Seedcamp, Playfair Capital",2,"Artificial Intelligence (AI), Data and Analytics, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.recurse.ml/,https://www.linkedin.com/company/recurse-ml/about/,,1-10
Calingo,https://www.crunchbase.com/organization/calingo,,8166,Calingo is a digital insurance platform that offers personalised and optimised risk protection at the point of sale.,,"Financial Services, Insurance, Risk Management","Niederweningen, Zurich, Switzerland",Calingo is a digital insurance platform that offers personalised and optimised risk protection at the point of sale.,"36,291",2020-01-01,year,,"Anina Lutz, Marlo Hug",Private,"37,190",,2024-08-07,4,Seed,3200000,CHF,3720688,Seed,5530000,CHF,6155071,3200000,CHF,3720688,Seed,5530000,CHF,6155071,"Zürcher Kantonal Bank, SICTIC, EquityPitcher Ventures, VENPACE, Swiss Founders Fund",8,"Financial Services, Professional Services",,"Europe, Middle East, and Africa (EMEA)",https://www.calingo.ch/,https://www.linkedin.com/company/calingo-insurance-ag/,info@calingo.ch,1-10
ESPROFILER,https://www.crunchbase.com/organization/esprofiler,Growing,,,,Cyber Security,"Manchester, Manchester, United Kingdom","ESProfiler is an enterprise platform that empowers CISOs to prioritise threats, optimise spend & continuously maximise return on investment","36,349",2020-11-01,month,,"Louis Holt, Marc Newton",Private,"37,249",,2024-02-27,2,Seed,2800000,GBP,3550474,Seed,2800000,GBP,3550474,2800000,GBP,3550474,Seed,2800000,GBP,3550474,"Nauta Capital, Osney Capital",2,"Information Technology, Privacy and Security",,"Europe, Middle East, and Africa (EMEA)",https://esprofiler.com/,https://www.linkedin.com/company/esprofiler/,,1-10
Torg,https://www.crunchbase.com/organization/torg,,10119,,,,"Berlin, Berlin, Germany",Torg puts the largest base of suppliers in F&B at the fingertips of buyers with an intuitive SaaS to simplify sourcing.,"36,375",2022-01-01,year,,,Private,"37,275",,2024-04-09,1,Seed,2700000,EUR,2931902,Seed,2700000,EUR,2931902,2700000,EUR,2931902,Seed,2700000,EUR,2931902,"Ventures Together, Sondo Capital, Connect Ventures, FoodLabs, Sameer Singh",6,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://usetorg.com/,https://www.linkedin.com/company/torg-gmbh,team@usetorg.com,11-50
Raven,https://www.crunchbase.com/organization/raven-9204,,,Raven is a next generation algorithmic high-frequency trading firm that is focused on long-lasting partnerships and building the future of digital finance.,,"Blockchain, Decentralized Finance (DeFi), Web3","Sofia, Grad Sofiya, Bulgaria",A proprietary high-frequency algorithmic trading firm.,"36,481",2023-01-01,month,1,Petar Kostov,Private,"37,398",,2024-05-15,1,Seed,2700000,USD,2700000,Seed,2700000,USD,2700000,2700000,USD,2700000,Seed,2700000,USD,2700000,"Hack VC, Wintermute Ventures",2,"Blockchain and Cryptocurrency, Internet Services, Other",Seed,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.ravendao.net,https://www.linkedin.com/company/ravendao,hello@ravendao.net,11-50
mogenius,https://www.crunchbase.com/organization/mogenius,,50829,"mogenius radically simplifies cloud infrastructure for software developers. The platform provides software teams with self-service environments to easily deploy and manage applications in Kubernetes, reducing DevOps overhead and boosting developer productivity. Never waste time on complicated, error-prone, and repetitive configurations in your cloud infrastructure again, and focus on what you really love: building great applications.",,"Cloud Computing, DevOps, Enterprise, Internet, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany",mogenius is a Kubernetes Operations Platform that helps teams to deploy and manage applications on Kubernetes easily.,"36,490",2021-02-02,day,,"Behrang Alavi, Benedikt Iltisberger, Gerrit Schumann, Herbert Möckel, Jan Lepsky",Private,"37,395",,2024-07-18,2,Seed,2500000,EUR,2725093,Seed,2500000,EUR,2725093,2500000,EUR,2725093,Seed,2500000,EUR,2725093,"seed + speed Ventures, STS Ventures, Inovexus, Smart Infrastructure Ventures ('SIVentures'), CONCEPTUM Beteiligungsgesellschaft mbH",5,"Information Technology, Internet Services, Other, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://mogenius.com,http://www.linkedin.com/company/mogenius,info@mogenius.com,11-50
Cyclize,https://www.crunchbase.com/organization/cyclize,,70569,,,,"Stuttgart, Baden-Wurttemberg, Germany",Replacing fossil feedstock using plastic waste and CO2,"36,544",2023-01-01,year,,"Dominik Novakovic, Jan Stein, Maike Lambarth, Stephan Renninger",Private,"37,452",,2024-02-21,1,Seed,4750000,EUR,5139664,Seed,4750000,EUR,5139664,4750000,EUR,5139664,Seed,4750000,EUR,5139664,"HTGF | High-Tech Gruenderfonds, Aurum Impact, UVC Partners, UnternehmerTUM, Klaus Schafer",5,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.cyclize.de,https://www.linkedin.com/company/cyclize,,1-10
Navlungo,https://www.crunchbase.com/organization/navlungo,,34912,"Bridging online sellers, retail brands, and exporting SMEs with seamless cross-border e-commerce logistics and fulfillment solutions.",,"E-Commerce, Logistics, Shipping, Software, Warehousing","Istanbul, Istanbul, Turkey",revolutionizing e-commerce logistics & fulfillment,"36,616",2019-05-28,day,,"Alp Cicekdagi, Ceren Tuna, Emrah Arslan, Isa Korkmaz, Mutlu Boz",Private,"37,538",,2023-12-01,6,Seed,2500000,USD,2500000,Seed,3450000,USD,3450000,2500000,USD,2500000,Seed,3450000,USD,3450000,"Innovate 21st, Akkök, Arya Ventures, Etkiyap, Idacapital",5,"Commerce and Shopping, Software, Transportation",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",https://navlungo.com/en,https://www.linkedin.com/company/navlungo,emrah.arslan@navlungo.com,101-250
Mindly,https://www.crunchbase.com/organization/mindly-a201,,01001,Mindly is a platform for mental health therapy online. They provide services that include social media and mental health problems. They offer resources and tools to support mental wellness and personal growth.,,"Apps, Consulting, Health Care, Mental Health, Psychology","Kyiv, Kyyiv, Ukraine",Mindly is an online platform for therapists that provides therapy sessions for patients.,"36,633",2022-01-01,year,,,Private,"37,544",,2023-12-12,2,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,Seed,2000000,USD,2000000,"Google for Startups, Inovo.vc, Patrik Backman",3,"Apps, Health Care, Professional Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://mindlyspace.com/pl,https://www.linkedin.com/company/mindlyspace,support@mindlyspace.com,11-50
